2 1.8 0.9639999999999999
3 2.6 1.0324
4 3.4 2.6064000000000003
5 3.3 0.3827999999999999
6 3.9 1.4792
7 4.7 0.38839999999999997
8 4.0 2.0395999999999996
9 5.3 0.47759999999999997
10 5.5 0.736
12 6.0 1.5172
14 5.8 1.5387999999999997
16 5.9 0.9376
18 5.7 0.6308
20 6.7 1.6291999999999998
22 5.6 3.1624000000000008
24 6.0 1.842
26 7.1 3.196
28 6.6 0.9223999999999999
30 7.0 3.2340000000000004
32 7.7 2.1887999999999996
34 7.8 1.3539999999999999
36 7.5 0.5496000000000001
38 6.8 2.3880000000000003
40 7.0 3.6452
42 7.6 2.3436
44 7.6 1.9012
46 8.2 0.6132000000000001
48 6.8 0.3615999999999999
50 7.7 4.3112
52 6.9 0.7464000000000002
54 7.9 0.7192000000000001
56 7.9 2.0347999999999997
58 7.9 1.2700000000000002
60 8.6 2.5300000000000002
62 8.4 1.1920000000000002
64 8.2 1.8003999999999998
66 8.7 3.0172000000000003
68 8.5 0.868
70 8.8 1.5972000000000002
72 9.8 2.0956
74 9.4 2.4939999999999998
76 11.1 0.9616
78 9.6 1.5592
80 8.8 1.2396
82 9.1 2.5160000000000005
84 8.9 2.638
86 9.5 1.9764
88 9.1 2.0664000000000002
90 8.3 2.7095999999999996
92 7.7 2.0884
94 9.4 1.4036000000000002
