1 -1.6920338609813077 -0.7655176666666665
3 -1.6913001281152678 -0.6924450000000002
5 -1.694610517133957 -0.6410039999999991
7 -1.685821412383177 -0.5929683333333338
9 -1.686768726635514 -0.5302153333333334
11 -1.6953858084112163 -0.5186773333333335
21 -1.6943014614485976 -0.40435566666666634
31 -1.6945397133956384 -0.32628666666666684
41 -1.6821549271806842 -0.3440343333333332
51 -1.6989995124610602 -0.27238799999999996
61 -1.69694117406542 -0.29187900000000044
71 -1.7080294462616832 -0.24019266666666655
81 -1.6894350307632404 -0.17133233333333325
91 -1.699262205996882 -0.21128633333333352
101 -1.6991271705607478 -0.19633266666666677
